date,price
2017-05-08,764000.0
2017-05-07,738000.0
2017-05-04,738000.0
2017-05-02,735000.0
2017-04-28,737000.0
2017-04-27,743000.0
2017-04-26,754000.0
2017-04-25,746000.0
2017-04-24,756000.0
2017-04-21,766000.0
2017-04-20,773000.0
2017-04-19,752000.0
2017-04-18,744000.0
2017-04-17,754000.0
2017-04-14,751000.0
2017-04-13,754000.0
2017-04-12,748000.0
2017-04-11,745000.0
2017-04-10,757000.0
2017-04-09,765000.0
2017-04-07,765000.0
2017-04-06,763000.0
2017-04-05,764000.0
2017-04-04,759000.0
2017-04-03,759000.0
2017-03-31,760000.0
2017-03-30,752000.0
2017-03-29,762000.0
2017-03-28,762000.0
2017-03-27,752000.0
2017-03-24,736000.0
2017-03-23,700000.0
2017-03-22,714000.0
2017-03-21,715000.0
2017-03-20,706000.0
2017-03-17,700000.0
2017-03-16,696000.0
2017-03-15,713000.0
2017-03-14,706000.0
2017-03-13,712000.0
2017-03-10,709000.0
2017-03-09,698000.0
2017-03-08,699000.0
2017-03-07,711000.0
2017-03-06,709000.0
2017-03-03,719000.0
2017-03-02,727000.0
2017-02-28,748000.0
2017-02-27,744000.0
2017-02-24,756000.0
2017-02-23,749000.0
2017-02-22,724000.0
2017-02-21,725000.0
2017-02-20,732000.0
2017-02-17,740000.0
2017-02-16,744000.0
2017-02-15,752000.0
2017-02-14,738000.0
2017-02-13,728000.0
2017-02-10,736000.0
2017-02-09,732000.0
2017-02-08,739000.0
2017-02-07,751000.0
2017-02-06,765000.0
2017-02-03,696000.0
2017-02-02,669000.0
2017-02-01,649000.0
2017-01-31,650000.0
2017-01-26,635000.0
2017-01-25,637000.0
2017-01-24,657000.0
2017-01-23,661000.0
2017-01-20,664000.0
2017-01-19,652000.0
2017-01-18,640000.0
2017-01-17,641000.0
2017-01-16,652000.0
2017-01-13,649000.0
2017-01-12,637000.0
2017-01-11,630000.0
2017-01-10,627000.0
2017-01-09,641000.0
2017-01-06,647000.0
2017-01-05,644000.0
2017-01-04,643000.0
2017-01-03,649000.0
2017-01-02,653000.0
2016-12-29,662000.0
2016-12-28,664000.0
2016-12-27,670000.0
2016-12-26,664000.0
2016-12-23,666000.0
2016-12-22,668000.0
2016-12-21,681000.0
2016-12-20,693000.0
2016-12-19,702000.0
2016-12-16,713000.0
2016-12-15,687000.0
2016-12-14,688000.0
2016-12-13,688000.0
2016-12-12,672000.0
2016-12-09,663000.0
2016-12-08,673000.0
2016-12-07,655000.0
2016-12-06,662000.0
2016-12-05,663000.0
2016-12-02,670000.0
2016-12-01,687000.0
2016-11-30,692000.0
2016-11-29,691000.0
2016-11-28,662000.0
2016-11-25,675000.0
2016-11-24,673000.0
2016-11-23,691000.0
2016-11-22,702000.0
2016-11-21,694000.0
2016-11-18,715000.0
2016-11-17,731000.0
2016-11-16,722000.0
2016-11-15,716000.0
2016-11-14,646000.0
2016-11-11,650000.0
2016-11-10,659000.0
2016-11-09,660000.0
2016-11-08,667000.0
2016-11-07,663000.0
2016-11-04,660000.0
2016-11-03,656000.0
2016-11-02,615000.0
2016-11-01,644000.0
2016-10-31,658000.0
2016-10-30,674000.0
2016-10-28,674000.0
2016-10-27,683000.0
2016-10-26,662000.0
2016-10-25,675000.0
2016-10-24,684000.0
2016-10-23,680000.0
2016-10-21,680000.0
2016-10-20,683000.0
2016-10-19,691000.0
2016-10-18,703000.0
2016-10-17,695000.0
2016-10-14,710000.0
2016-10-13,720000.0
2016-10-12,745000.0
2016-10-11,736000.0
2016-10-10,728000.0
2016-10-07,721000.0
2016-10-06,732000.0
2016-10-05,744000.0
2016-10-04,742000.0
2016-10-03,750000.0
2016-09-30,750000.0
2016-09-29,755000.0
2016-09-28,758000.0
2016-09-27,757000.0
2016-09-26,755000.0
2016-09-25,740000.0
2016-09-23,740000.0
2016-09-22,743000.0
2016-09-21,734000.0
2016-09-20,737000.0
2016-09-19,697000.0
2016-09-18,683000.0
2016-09-13,683000.0
2016-09-12,664000.0
2016-09-11,665000.0
2016-09-09,665000.0
2016-09-08,687000.0
2016-09-07,680000.0
2016-09-06,710000.0
2016-09-05,719000.0
2016-09-02,714000.0
2016-09-01,701000.0
2016-08-31,699000.0
2016-08-30,702000.0
2016-08-29,710000.0
2016-08-26,717000.0
2016-08-25,718000.0
2016-08-24,717000.0
2016-08-23,727000.0
2016-08-22,740000.0
2016-08-21,760000.0
2016-08-19,760000.0
2016-08-18,780000.0
2016-08-17,809000.0
2016-08-16,821000.0
2016-08-12,798000.0
2016-08-11,801000.0
2016-08-10,802000.0
2016-08-09,778000.0
2016-08-08,771000.0
2016-08-05,745000.0
2016-08-04,753000.0
2016-08-03,755000.0
2016-08-02,774000.0
2016-08-01,769000.0
2016-07-31,781000.0
2016-07-29,781000.0
2016-07-28,786000.0
2016-07-27,788000.0
2016-07-26,787000.0
2016-07-25,791000.0
2016-07-22,812000.0
2016-07-21,804000.0
2016-07-20,806000.0
2016-07-19,805000.0
2016-07-18,808000.0
2016-07-15,809000.0
2016-07-14,821000.0
2016-07-13,837000.0
2016-07-12,843000.0
2016-07-11,848000.0
2016-07-08,842000.0
2016-07-07,850000.0
2016-07-06,844000.0
2016-07-05,841000.0
2016-07-04,845000.0
2016-07-01,830000.0
2016-06-30,823000.0
2016-06-29,818000.0
2016-06-28,829000.0
2016-06-27,798000.0
2016-06-26,790000.0
2016-06-24,790000.0
2016-06-23,818000.0
2016-06-22,829000.0
2016-06-21,825000.0
2016-06-20,825000.0
2016-06-17,822000.0
2016-06-16,823000.0
2016-06-15,840000.0
2016-06-14,852000.0
2016-06-13,867000.0
2016-06-10,863000.0
2016-06-09,854000.0
2016-06-08,885000.0
2016-06-07,874000.0
2016-06-06,860000.0
2016-06-03,860000.0
2016-06-02,863000.0
2016-06-01,857000.0
2016-05-31,848000.0
2016-05-30,859000.0
2016-05-27,886000.0
2016-05-26,871000.0
2016-05-25,872000.0
2016-05-24,862000.0
2016-05-23,866000.0
2016-05-20,882000.0
2016-05-19,874000.0
2016-05-18,908000.0
2016-05-17,912000.0
2016-05-16,882000.0
2016-05-13,871000.0
2016-05-12,882000.0
2016-05-11,861000.0
2016-05-10,882000.0
2016-05-09,899000.0
2016-05-04,871000.0
2016-05-03,854000.0
2016-05-02,832000.0
2016-04-29,817000.0
2016-04-28,818000.0
2016-04-27,842000.0
2016-04-26,873000.0
2016-04-25,871000.0
2016-04-22,855000.0
2016-04-21,870000.0
